week_id,team_1,team_2
1,6,2
1,12,1
1,9,3
1,10,7
1,5,11
1,8,4
2,2,10
2,11,12
2,7,8
2,3,5
2,4,9
2,6,1
3,10,8
3,7,4
3,9,5
3,2,1
3,6,12
3,3,11
4,7,9
4,3,12
4,2,11
4,6,8
4,5,1
4,10,4
5,8,9
5,4,3
5,6,10
5,11,1
5,2,7
5,5,12
6,6,11
6,10,1
6,4,12
6,7,5
6,8,3
6,2,9
7,2,3
7,9,1
7,8,5
7,4,11
7,10,12
7,6,7
8,2,8
8,7,3
8,10,11
8,6,5
8,4,1
8,9,12
9,10,5
9,7,12
9,6,3
9,2,4
9,9,11
9,8,1
10,8,11
10,4,5
10,7,1
10,6,9
10,10,3
10,2,12
11,2,5
11,3,1
11,10,9
11,8,12
11,6,4
11,7,11
12,5,11
12,12,1
12,8,4
12,6,2
12,9,3
12,10,7
13,2,10
13,4,9
13,6,1
13,11,12
13,7,8
13,3,5
14,6,12
14,7,4
14,3,11
14,10,8
14,9,5
14,2,1
15,3,12
15,5,1
15,10,4
15,7,9
15,2,11
15,6,8
16,2,7
16,8,9
16,5,12
16,4,3
16,6,10
16,11,1
17,1,12
17,11,9
17,4,5
17,10,8
17,2,3
17,6,7
